"stateFlagCode","state","AverageIncome_AverageAnnualWage_usd_2024","AverageIncome_AverageHourlyWage_usd_2024"
,"District of Columbia",109420,52.61
,"Massachusetts",83050,39.93
,"Washington",81550,39.21
,"New York",80630,38.76
,"California",79900,38.41
,"New Jersey",76320,36.69
,"Maryland",76130,36.6
,"Connecticut",76050,36.56
,"Alaska",72810,35.01
,"Virginia",72060,34.64
,"Oregon",70290,33.79
,"Rhode Island",69270,33.3
,"Illinois",69020,33.18
,"Minnesota",68880,33.12
,"New Hampshire",68800,33.08
,"Hawaii",68280,32.83
,"Delaware",67640,32.52
,"Vermont",66330,31.89
,"Arizona",65740,31.61
,"Georgia",64210,30.87
,"Utah",63960,30.75
,"Maine",63760,30.65
,"Pennsylvania",63690,30.62
,"Texas",63660,30.6
,"Michigan",63120,30.35
,"Florida",62990,30.29
,"North Carolina",62440,30.02
,"Ohio",62280,29.94
,"North Dakota",61810,29.71
,"Wisconsin",61690,29.66
,"Nevada",60310,29
,"New Mexico",60290,28.99
,"Nebraska",60230,28.96
,"Wyoming",60200,28.94
,"Missouri",59630,28.67
,"Indiana",58800,28.27
,"Tennessee",58700,28.22
,"Idaho",58440,28.1
,"Iowa",58350,28.05
,"Montana",58160,27.96
,"South Carolina",56990,27.4
,"Kentucky",56310,27.07
,"South Dakota",55480,26.67
,"Alabama",55350,26.61
,"Louisiana",55130,26.5
,"Oklahoma",54960,26.43
,"West Virginia",54940,26.41
,"Arkansas",53070,25.52
,"Mississippi",49740,23.91
,"Kansas",28230,28
