"stateFlagCode","state","AverageIncome_AverageAnnualWage_usd_2024","AverageIncome_AverageHourlyWage_usd_2024"
NA,NA,109420,52.61
NA,"MA",83050,39.93
NA,"WA",81550,39.21
NA,"NY",80630,38.76
NA,"CA",79900,38.41
NA,"NJ",76320,36.69
NA,"MD",76130,36.6
NA,"CT",76050,36.56
NA,"AK",72810,35.01
NA,"VA",72060,34.64
NA,"OR",70290,33.79
NA,"RI",69270,33.3
NA,"IL",69020,33.18
NA,"MN",68880,33.12
NA,"NH",68800,33.08
NA,"HI",68280,32.83
NA,"DE",67640,32.52
NA,"VT",66330,31.89
NA,"AZ",65740,31.61
NA,"GA",64210,30.87
NA,"UT",63960,30.75
NA,"ME",63760,30.65
NA,"PA",63690,30.62
NA,"TX",63660,30.6
NA,"MI",63120,30.35
NA,"FL",62990,30.29
NA,"NC",62440,30.02
NA,"OH",62280,29.94
NA,"ND",61810,29.71
NA,"WI",61690,29.66
NA,"NV",60310,29
NA,"NM",60290,28.99
NA,"NE",60230,28.96
NA,"WY",60200,28.94
NA,"MO",59630,28.67
NA,"IN",58800,28.27
NA,"TN",58700,28.22
NA,"ID",58440,28.1
NA,"IA",58350,28.05
NA,"MT",58160,27.96
NA,"SC",56990,27.4
NA,"KY",56310,27.07
NA,"SD",55480,26.67
NA,"AL",55350,26.61
NA,"LA",55130,26.5
NA,"OK",54960,26.43
NA,"WV",54940,26.41
NA,"AR",53070,25.52
NA,"MS",49740,23.91
NA,"KS",28230,28
